Name,meta_score,user_review,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre
Wii Sports Resort,80,8.2,2009,6,15.75,11.01,3.28,2.96,33.0,Sports
TMNT,80,5.8,2007,1841,0.94,0.09,0.0,0.08,1.12,Action
Disgaea 4: A Promise Unforgotten,80,8.7,2011,2473,0.31,0.15,0.22,0.08,0.76,Role-Playing
The Darkness II,80,7.7,2012,2260,0.48,0.29,0.0,0.09,0.86,Shooter
Capcom vs. SNK,80,8.6,2000,5351,0.0,0.0,0.22,0.0,0.22,Fighting
Starcraft 64,80,7.8,2000,6185,0.13,0.03,0.0,0.0,0.16,Strategy
Final Fantasy Anthology,80,8.6,1999,2373,0.45,0.3,0.0,0.05,0.8,Role-Playing
God of War: Ascension,80,7.6,2013,850,1.23,0.68,0.04,0.34,2.29,Action
Buzz! Quiz TV,80,7.2,2008,2186,0.28,0.48,0.0,0.14,0.9,Misc
Goodbye Deponia,80,7.9,2013,8193,0.0,0.06,0.0,0.01,0.07,Adventure
Naruto Shippuden: Ultimate Ninja Storm 4,80,8.2,2016,1530,0.58,0.47,0.1,0.19,1.34,Fighting
NHL 2003,80,7.3,2002,1621,0.71,0.43,0.0,0.13,1.27,Sports
Skate 3,80,8.1,2010,349,2.25,1.92,0.0,0.59,4.76,Sports
Puppeteer,80,8.4,2013,4712,0.11,0.1,0.02,0.04,0.28,Platform
Tomb Raider: Underworld,80,7.4,2008,551,1.37,1.4,0.06,0.48,3.29,Action
Prison Architect,80,6.8,2016,10377,0.01,0.01,0.0,0.0,0.02,Action
FIFA Soccer 06,80,7.6,2005,312,1.27,2.96,0.04,0.86,5.13,Sports
MLB 15: The Show,80,7.7,2015,1526,1.0,0.09,0.0,0.25,1.35,Sports
Company of Heroes 2,80,2.2,2013,4110,0.06,0.25,0.0,0.05,0.36,Strategy
Red Steel 2,80,8.5,2010,2815,0.36,0.21,0.01,0.06,0.63,Shooter
Ninjatown,80,8.4,2008,6501,0.12,0.0,0.0,0.01,0.14,Strategy
MotoGP '06,80,7.4,2006,6544,0.11,0.01,0.0,0.01,0.14,Racing
Wii Fit Plus,80,7.5,2009,28,9.09,8.59,2.53,1.79,22.0,Sports
Ultimate Brain Games,80,8.5,2003,7836,0.06,0.02,0.0,0.0,0.08,Misc
Disney's Lilo & Stitch,80,7.2,2002,1913,0.77,0.29,0.0,0.02,1.08,Platform
2002 FIFA World Cup,80,7.1,2002,2311,0.39,0.22,0.16,0.07,0.83,Sports
Mat Hoffman's Pro BMX,80,7.7,2001,2353,0.49,0.27,0.0,0.04,0.81,Sports
MX vs. ATV Unleashed,80,8.0,2005,1450,1.18,0.1,0.0,0.15,1.43,Racing
Fable III,80,6.1,2010,285,3.68,1.28,0.05,0.43,5.45,Role-Playing
Skylanders Giants,80,6.3,2012,268,3.01,1.98,0.0,0.6,5.59,Action
Castlevania: The Dracula X Chronicles,80,8.2,2007,3691,0.22,0.09,0.04,0.07,0.42,Platform
Battlefield 2142,80,6.8,2006,9741,0.0,0.02,0.0,0.0,0.03,Shooter
Karaoke Revolution Party,80,,2005,3583,0.25,0.14,0.0,0.04,0.44,Misc
LEGO Rock Band,80,7.4,2009,922,1.39,0.56,0.0,0.22,2.16,Misc
A Boy and His Blob,80,8.4,2009,5448,0.19,0.02,0.0,0.02,0.22,Platform
World of Tanks,80,4.6,2011,4286,0.0,0.26,0.0,0.06,0.33,Shooter
Kelly Slater's Pro Surfer,80,7.9,2002,2839,0.38,0.19,0.0,0.04,0.62,Sports
Pilotwings 64,80,8.1,1996,1834,0.56,0.24,0.3,0.02,1.12,Simulation
"Warhammer 40,000: Dawn of War II - Retribution",80,7.7,2011,8140,0.0,0.06,0.0,0.02,0.08,Strategy
NHL 16,80,5.8,2015,1803,0.72,0.25,0.0,0.17,1.14,Sports
Dead Rising 2,80,6.8,2010,611,1.28,1.12,0.24,0.35,3.02,Action
Virtua Tennis 3,80,7.6,2007,1755,0.28,0.65,0.03,0.23,1.17,Sports
Pro Evolution Soccer 2012,80,6.8,2011,487,0.64,1.58,0.93,0.51,3.65,Action
Donkey Kong Country 2,80,8.6,2004,1679,0.79,0.27,0.12,0.04,1.23,Platform
Pokemon Conquest,80,8.3,2012,1966,0.58,0.06,0.37,0.04,1.05,Role-Playing
NBA Live 06,80,6.8,2005,1213,1.48,0.11,0.0,0.09,1.68,Sports
Trauma Center: Second Opinion,80,8.0,2006,4168,0.28,0.02,0.03,0.03,0.35,Simulation
Battlefield 2: Modern Combat,80,7.9,2005,1474,1.11,0.18,0.01,0.11,1.41,Shooter
Men of War,80,8.0,2009,10113,0.01,0.02,0.0,0.01,0.03,Strategy
All-Star Baseball 2004,80,7.7,2003,2616,0.42,0.23,0.0,0.05,0.7,Sports
War of the Monsters,80,8.8,2003,3152,0.26,0.2,0.0,0.07,0.54,Fighting
Time Commando,80,8.3,1996,6104,0.1,0.07,0.0,0.01,0.17,Action
SoulCalibur: Broken Destiny,80,6.6,2009,3257,0.12,0.2,0.07,0.12,0.51,Fighting
Lufia: Curse of the Sinistrals,80,7.7,2010,6143,0.12,0.0,0.03,0.01,0.16,Role-Playing
Links 2004,80,8.5,2003,4669,0.21,0.06,0.0,0.01,0.29,Sports
FIFA Soccer 09 All-Play,80,8.3,2008,2193,0.29,0.52,0.0,0.09,0.9,Sports
Lock's Quest,80,8.3,2008,7613,0.08,0.0,0.0,0.01,0.09,Strategy
LEGO City Undercover,80,7.6,2013,757,0.98,1.15,0.2,0.2,2.54,Platform
LEGO Batman: The Videogame,80,8.1,2008,54,7.71,4.05,0.0,1.9,13.67,Action
LEGO Indiana Jones: The Original Adventures,80,7.8,2008,71,6.82,3.23,0.0,2.03,12.05,Action
Valkyrie Profile: Lenneth,80,8.7,2006,4095,0.17,0.01,0.16,0.02,0.36,Role-Playing
Kirby: Triple Deluxe,80,8.6,2014,1116,0.61,0.34,0.79,0.09,1.82,Platform
Rocksmith,80,8.2,2011,799,1.42,0.62,0.1,0.26,2.4,Misc
Tom Clancy's The Division,80,6.6,2016,245,2.68,2.37,0.15,0.78,5.99,Shooter
Hot Shots Tennis: Get a Grip,80,8.2,2010,5553,0.06,0.0,0.13,0.01,0.21,Sports
Hitman: Contracts,80,8.1,2004,1812,0.65,0.38,0.0,0.11,1.14,Shooter
Rock 'N Roll Racing,80,8.8,2003,9188,0.03,0.01,0.0,0.0,0.05,Racing
Baseball Advance,80,7.8,2002,6732,0.1,0.04,0.0,0.0,0.13,Sports
Oddworld: Munch's Oddysee,80,5.8,2001,2409,0.58,0.18,0.0,0.03,0.79,Platform
Ys: The Oath in Felghana,80,8.2,2010,6515,0.09,0.0,0.04,0.01,0.14,Role-Playing
Beaterator,80,7.8,2009,7691,0.06,0.02,0.0,0.02,0.09,Misc
Football Manager 2015,80,6.2,2014,3370,0.0,0.43,0.0,0.05,0.48,Simulation
The Suffering,80,8.4,2004,2808,0.36,0.21,0.0,0.06,0.64,Action
MLB,80,7.9,2005,5173,0.23,0.0,0.0,0.02,0.24,Sports
Pro Evolution Soccer 2014,80,4.2,2013,1187,0.09,0.71,0.84,0.06,1.7,Action
Geometry Wars: Galaxies,80,8.0,2007,4786,0.24,0.0,0.0,0.02,0.28,Shooter
Hatsune Miku: Project Mirai DX,80,8.2,2015,4476,0.15,0.04,0.1,0.02,0.31,Misc
Sonic's Ultimate Genesis Collection,80,8.0,2009,480,2.19,1.08,0.0,0.44,3.7,Misc
NCAA March Madness 2005,80,7.5,2004,2363,0.65,0.08,0.0,0.08,0.81,Sports
Amped 2,80,7.7,2003,5079,0.2,0.04,0.0,0.01,0.25,Sports
Total War: Attila,80,7.4,2015,5296,0.09,0.13,0.0,0.02,0.23,Strategy
Kirby & the Amazing Mirror,80,8.8,2004,1246,0.8,0.05,0.76,0.03,1.64,Platform
Naruto: The Broken Bond,80,8.0,2008,2961,0.24,0.28,0.0,0.07,0.59,Action
FlatOut: Ultimate Carnage,80,8.2,2007,6945,0.07,0.04,0.0,0.01,0.12,Racing
Microsoft Flight Simulator X,80,7.3,2006,3643,0.02,0.34,0.0,0.07,0.43,Simulation
Railroad Tycoon 3,80,7.7,2003,9487,0.0,0.03,0.0,0.01,0.04,Strategy
World of Outlaws: Sprint Cars 2002,80,8.3,2002,3368,0.23,0.18,0.0,0.06,0.48,Racing
Wave Race: Blue Storm,80,7.9,2001,2932,0.4,0.1,0.09,0.02,0.6,Racing
Phantasy Star Online Ver. 2,80,8.6,2001,5807,0.0,0.0,0.19,0.0,0.19,Role-Playing
Crazy Taxi,80,7.5,2001,341,2.59,1.72,0.2,0.31,4.82,Racing
Forza Motorsport 5,79,6.0,2013,911,1.21,0.78,0.01,0.17,2.18,Racing
WWE SmackDown vs. Raw 2009,79,7.4,2008,335,2.78,1.11,0.01,0.99,4.88,Fighting
Empire Earth II,79,7.2,2005,10060,0.0,0.03,0.0,0.0,0.03,Strategy
Kameo: Elements of Power,79,7.9,2005,4187,0.28,0.03,0.0,0.03,0.34,Action
FIFA Soccer,79,7.4,2012,2518,0.28,0.34,0.02,0.1,0.74,Sports
The King of Fighters XIII,79,8.2,2011,2793,0.4,0.14,0.05,0.06,0.64,Fighting
Rock Band Unplugged,79,8.6,2009,3374,0.24,0.15,0.0,0.1,0.48,Misc
The Pinball of the Dead,79,7.2,2002,8625,0.05,0.02,0.0,0.0,0.06,Misc
Metroid: Other M,79,6.7,2010,1472,0.87,0.31,0.13,0.1,1.41,Action
Hunter: The Reckoning,79,7.6,2002,3371,0.36,0.1,0.0,0.01,0.48,Action
Brothers in Arms: Hell's Highway,79,8.0,2008,1119,0.91,0.67,0.0,0.24,1.82,Shooter
Banjo-Kazooie: Nuts & Bolts,79,6.6,2008,2447,0.32,0.36,0.0,0.09,0.78,Platform
Star Wars: Empire at War,79,8.3,2006,7619,0.01,0.06,0.0,0.02,0.09,Strategy
EA Sports MMA,79,7.4,2010,2521,0.39,0.25,0.01,0.09,0.74,Fighting
Scribblenauts,79,7.6,2009,887,1.71,0.32,0.02,0.18,2.22,Puzzle
NHL 07,79,5.5,2006,2056,0.82,0.06,0.0,0.11,0.98,Sports
Sonic Colors,79,8.2,2010,591,1.7,1.11,0.02,0.29,3.11,Platform
Silent Hunter: Wolves of the Pacific,79,7.1,2007,9215,0.0,0.04,0.0,0.01,0.05,Simulation
Rock Band 4,79,6.4,2015,2391,0.6,0.09,0.0,0.11,0.8,Misc
1701 A.D.,79,7.7,2006,4580,0.0,0.25,0.0,0.05,0.3,Simulation
Smuggler's Run,79,6.9,2000,1297,0.78,0.6,0.0,0.2,1.57,Racing
Pac-Man Collection,79,7.4,2001,637,2.07,0.77,0.05,0.05,2.94,Puzzle
The Evil Within,79,7.2,2014,414,1.5,1.84,0.24,0.56,4.15,Action
Gun,79,8.0,2005,933,1.74,0.21,0.0,0.2,2.14,Shooter
Worms Reloaded,79,6.9,2010,8885,0.0,0.04,0.0,0.01,0.05,Strategy
Final Fantasy I & II: Dawn of Souls,79,7.9,2004,1735,0.64,0.24,0.29,0.02,1.19,Role-Playing
Tropico 3,79,7.5,2009,4829,0.15,0.06,0.03,0.03,0.27,Strategy
NHL 2K10,79,7.4,2009,2001,0.74,0.18,0.0,0.1,1.02,Sports
GrimGrimoire,79,9.7,2007,8965,0.01,0.01,0.03,0.0,0.05,Strategy
Trauma Center: Under the Knife 2,79,8.4,2008,7297,0.1,0.0,0.0,0.01,0.11,Simulation
Transformers: Fall of Cybertron,79,8.3,2012,2265,0.48,0.28,0.0,0.11,0.86,Action
Wipeout 2048,79,8.2,2012,3876,0.14,0.19,0.0,0.06,0.39,Racing
Chessmaster,79,7.9,2003,3068,0.32,0.19,0.0,0.05,0.56,Misc
The Sims: Superstar,79,7.6,2003,1214,1.67,0.0,0.0,0.0,1.68,Simulation
Payday 2,79,5.4,2013,1355,0.75,0.57,0.0,0.18,1.52,Shooter
Spider-Man: The Movie,79,7.4,2002,133,5.56,2.41,0.05,0.37,8.4,Action
Until Dawn,79,8.3,2015,1245,0.44,0.89,0.05,0.25,1.64,Adventure
Castlevania: Lament of Innocence,79,8.6,2003,2117,0.46,0.36,0.0,0.12,0.94,Action
Midnight Club: LA Remix,79,8.5,2008,2043,0.52,0.28,0.0,0.19,0.99,Racing
EA Sports Active 2,79,6.4,2010,730,1.48,0.85,0.0,0.27,2.61,Sports
NASCAR 06: Total Team Control,79,6.4,2005,2179,0.73,0.08,0.0,0.1,0.9,Racing
LittleBigPlanet 3,79,7.1,2014,729,0.84,1.35,0.02,0.4,2.61,Platform
Tom Clancy's Ghost Recon: Future Soldier,79,6.5,2012,734,1.39,0.83,0.11,0.27,2.6,Shooter
The New York Times Crosswords,79,6.7,2007,3559,0.42,0.0,0.0,0.03,0.45,Puzzle
MTV Music Generator 3: This Is the Remix,79,6.6,2004,5341,0.13,0.07,0.0,0.02,0.22,Misc
Tak and the Power of Juju,79,8.4,2003,952,1.26,0.67,0.0,0.17,2.1,Platform
Dynasty Tactics,79,8.2,2002,4621,0.06,0.05,0.16,0.02,0.29,Strategy
WWE Day of Reckoning,79,8.8,2004,3535,0.35,0.09,0.0,0.01,0.45,Fighting
Stella Glow,79,8.5,2015,5147,0.16,0.01,0.05,0.02,0.24,Role-Playing
LEGO Harry Potter: Years 1-4,79,7.8,2010,124,4.01,3.5,0.0,1.01,8.53,Action
Monster Tale,79,8.0,2011,8157,0.06,0.0,0.0,0.0,0.07,Platform
Tekken 4,79,8.1,2002,519,1.55,1.27,0.33,0.29,3.44,Fighting
Metroid Prime Pinball,79,7.9,2005,5001,0.21,0.0,0.02,0.02,0.26,Misc
F.E.A.R. 2: Project Origin,79,7.9,2009,1896,0.52,0.41,0.01,0.14,1.09,Shooter
Black,79,8.2,2006,1223,1.32,0.13,0.03,0.17,1.67,Shooter
Ghostbusters: The Video Game,79,7.4,2009,530,1.94,0.89,0.0,0.59,3.39,Action
Just Dance 2014,79,7.8,2013,207,3.68,2.31,0.0,0.6,6.58,Misc
Smuggler's Run: Warzones,79,7.1,2002,8040,0.06,0.02,0.0,0.0,0.08,Misc
Golden Sun: Dark Dawn,79,8.2,2010,2299,0.56,0.11,0.13,0.05,0.84,Role-Playing
NHL 2K7,79,7.5,2006,5549,0.19,0.0,0.0,0.02,0.21,Sports
Armed and Dangerous,79,7.4,2003,6795,0.09,0.03,0.0,0.0,0.13,Shooter
Namco Museum,79,7.4,2001,154,5.98,1.42,0.05,0.15,7.6,Misc
Metal Slug Advance,79,8.6,2004,8001,0.06,0.02,0.0,0.0,0.08,Shooter
Buffy the Vampire Slayer,79,7.8,2002,5339,0.18,0.05,0.0,0.01,0.23,Action
Heavenly Sword,79,8.1,2007,1227,0.57,0.73,0.06,0.3,1.66,Action
NCAA Football 13,79,4.8,2012,1036,1.84,0.0,0.0,0.12,1.95,Action
Tales of Vesperia,79,8.9,2008,1719,0.32,0.18,0.64,0.05,1.2,Role-Playing
Uru: Ages Beyond Myst,79,7.1,2003,11010,0.0,0.02,0.0,0.0,0.02,Adventure
Project: Snowblind,79,7.1,2005,4373,0.18,0.1,0.0,0.03,0.32,Action
Mini Ninjas,79,8.0,2009,1496,0.6,0.64,0.0,0.17,1.38,Action
Sphinx and the Cursed Mummy,79,8.1,2003,2590,0.42,0.22,0.0,0.06,0.71,Action
Robot Alchemic Drive,79,8.1,2002,8432,0.03,0.03,0.0,0.01,0.07,Action
The Sims: Unleashed,79,7.7,2002,472,2.03,1.56,0.0,0.17,3.76,Simulation
NHL Hitz 20-02,79,8.0,2001,1975,0.64,0.32,0.0,0.09,1.04,Sports
The King of Fighters XIV,79,8.2,2016,7735,0.04,0.01,0.03,0.01,0.09,Fighting
MTX Mototrax,79,7.7,2004,3745,0.24,0.12,0.0,0.03,0.41,Racing
Guilty Gear X,79,7.8,2001,6995,0.06,0.05,0.0,0.02,0.12,Fighting
Gears of War: Judgment,79,5.7,2013,1266,0.92,0.53,0.03,0.13,1.61,Shooter
Super Dodge Ball Advance,79,7.8,2001,5614,0.14,0.05,0.0,0.0,0.2,Sports
Super Smash Bros.,79,8.7,1999,271,2.95,0.6,1.97,0.04,5.55,Fighting
Sonic Advance 3,79,8.2,2004,1479,0.74,0.52,0.08,0.06,1.4,Platform
de Blob 2,79,7.4,2011,2715,0.41,0.19,0.0,0.07,0.66,Platform
Overlord II,79,7.7,2009,2696,0.26,0.32,0.0,0.1,0.67,Action
NHL 06,79,8.0,2005,2167,0.73,0.09,0.0,0.09,0.91,Sports
Band Hero,79,6.2,2009,528,1.88,1.01,0.0,0.52,3.4,Misc
MLB Power Pros 2008,79,8.6,2008,4219,0.22,0.04,0.06,0.02,0.34,Sports
Major League Baseball 2K7,79,5.9,2007,1228,1.27,0.23,0.0,0.16,1.66,Sports
Space Channel 5 Special Edition,79,8.5,2003,7896,0.04,0.03,0.0,0.01,0.08,Misc
Downhill Domination,79,8.5,2003,3440,0.23,0.18,0.0,0.06,0.47,Racing
Lunar Legend,79,7.8,2002,5772,0.14,0.05,0.0,0.0,0.19,Role-Playing
Breath of Fire,79,7.3,2001,5433,0.11,0.04,0.06,0.0,0.22,Role-Playing
Sky Odyssey,79,8.7,2000,4348,0.16,0.12,0.0,0.04,0.32,Simulation
Spider-Man 3,79,6.6,2007,526,2.35,0.63,0.03,0.42,3.42,Platform
The Settlers 7: Paths to a Kingdom,79,5.2,2010,4364,0.0,0.26,0.0,0.06,0.32,Strategy
EA Sports UFC 2,79,5.8,2016,1585,0.51,0.61,0.0,0.18,1.29,Sports
F1 2013,79,6.7,2013,2095,0.02,0.73,0.03,0.18,0.96,Racing
Madden NFL 12,79,6.0,2011,267,4.99,0.26,0.0,0.38,5.62,Sports
Tony Hawk's Proving Ground,79,6.2,2007,924,1.83,0.11,0.0,0.22,2.15,Sports
Mario Strikers Charged,79,8.2,2007,726,1.07,1.06,0.24,0.25,2.62,Sports
Tenchu: Wrath of Heaven,79,8.6,2003,1815,0.44,0.34,0.25,0.11,1.14,Action
Burnout,79,7.4,2001,1763,0.68,0.37,0.0,0.11,1.17,Racing
Mega Man Battle Network,79,8.7,2001,3704,0.14,0.05,0.22,0.01,0.42,Role-Playing
Dance Dance Revolution Ultramix 2,78,7.1,2004,3732,0.32,0.09,0.0,0.02,0.42,Simulation
Star Wars: Battlefront II,78,8.6,2005,203,4.47,1.6,0.04,0.57,6.67,Shooter
Call of Juarez: Bound in Blood,78,7.7,2009,1342,0.65,0.65,0.01,0.23,1.53,Shooter
Alien Hominid,78,8.2,2004,5753,0.12,0.06,0.0,0.01,0.19,Shooter
Tiger Woods PGA Tour,78,7.5,2005,4053,0.32,0.0,0.0,0.03,0.36,Sports
Broken Sword: Shadow of the Templars - The Director's Cut,78,8.1,2009,5213,0.12,0.1,0.0,0.02,0.24,Adventure
Disgaea 3: Absence of Justice,78,8.2,2008,3258,0.32,0.04,0.11,0.04,0.51,Role-Playing
Yakuza 4,78,8.3,2011,2070,0.15,0.14,0.63,0.05,0.97,Action
Wade Hixton's Counter Punch,78,8.2,2004,11385,0.01,0.0,0.0,0.0,0.01,Sports
Baldur's Gate: Dark Alliance II,78,8.1,2004,2128,0.53,0.32,0.0,0.1,0.94,Role-Playing
Dave Mirra Freestyle BMX 3,78,,2002,9959,0.02,0.01,0.0,0.0,0.03,Sports
Contra: Shattered Soldier,78,7.4,2002,2983,0.28,0.22,0.0,0.07,0.58,Shooter
Dynasty Warriors 3,78,8.8,2001,1038,0.59,0.18,1.07,0.1,1.95,Action
Shadow of Destiny,78,8.0,2001,4529,0.16,0.07,0.03,0.03,0.3,Adventure
Midnight Club: Street Racing,78,7.6,2000,592,2.34,0.6,0.02,0.15,3.11,Racing
Swing Away Golf,78,,2000,3201,0.17,0.13,0.18,0.04,0.52,Sports
Harvest Moon 64,78,8.8,1999,3400,0.25,0.06,0.11,0.06,0.48,Simulation
NHL 17,78,5.0,2016,4170,0.26,0.05,0.0,0.06,0.35,Sports
Far Cry Instincts Evolution,78,6.7,2006,7902,0.06,0.02,0.0,0.0,0.08,Shooter
Yoshi's Woolly World,78,8.4,2015,1586,0.61,0.47,0.11,0.1,1.29,Platform
Stellaris,78,8.0,2016,10265,0.0,0.03,0.0,0.0,0.03,Strategy
The House of the Dead: Overkill,78,8.6,2009,2236,0.46,0.31,0.02,0.09,0.87,Shooter
Bomberman Land Touch!,78,7.6,2006,7773,0.04,0.0,0.04,0.0,0.09,Puzzle
Big Bang Mini,78,8.2,2009,8491,0.05,0.0,0.0,0.0,0.06,Shooter
WWE '13,78,8.0,2012,662,1.35,1.09,0.0,0.38,2.83,Action
Hotel Dusk: Room 215,78,8.5,2007,3062,0.27,0.05,0.22,0.03,0.56,Adventure
The Thing,78,7.1,2002,2811,0.37,0.21,0.0,0.07,0.64,Adventure
Hatsune Miku: Project Diva X,78,7.4,2016,6239,0.02,0.0,0.12,0.0,0.16,Misc
MLB 2005,78,7.6,2004,2183,0.44,0.35,0.0,0.12,0.9,Sports
Knockout Kings 2003,78,7.0,2002,6361,0.12,0.03,0.0,0.0,0.15,Sports
Konami Collector's Series: Arcade Advanced,78,8.6,2002,2798,0.46,0.17,0.0,0.01,0.64,Misc
Gradius Galaxies,78,8.3,2001,8034,0.06,0.02,0.0,0.0,0.08,Shooter
Metal Gear Solid: Snake Eater 3D,78,7.9,2012,3954,0.15,0.11,0.1,0.02,0.38,Action
Robocalypse,78,8.2,2008,8435,0.07,0.0,0.0,0.0,0.07,Strategy
MotorStorm RC,78,6.8,2012,8186,0.0,0.05,0.0,0.02,0.07,Racing
Age of Empires: Mythologies,78,7.1,2008,5361,0.17,0.03,0.0,0.02,0.22,Strategy
Rabbids Go Home,78,7.0,2009,1087,0.61,1.05,0.0,0.21,1.86,Platform
Shaun White Snowboarding: Road Trip,78,8.7,2008,1217,0.94,0.57,0.0,0.17,1.67,Sports
Dynasty Warriors 4,78,8.9,2003,862,0.75,0.24,1.13,0.14,2.27,Action
Shox,78,6.6,2002,7807,0.05,0.04,0.0,0.01,0.09,Racing
Ridge Racer V,78,7.5,2000,1662,0.24,0.19,0.75,0.06,1.24,Action
NFL Blitz 2001,78,8.0,2000,2021,0.67,0.29,0.0,0.04,1.01,Sports
The Tomb Raider Trilogy,78,8.3,2011,2113,0.27,0.5,0.0,0.17,0.94,Action
Disney Guilty Party,78,8.0,2010,3487,0.43,0.0,0.0,0.03,0.46,Misc
Tom Clancy's Rainbow Six: Vegas 2,78,7.4,2008,468,2.22,1.08,0.06,0.44,3.79,Shooter
"Blast Works: Build, Trade, Destroy",78,7.7,2008,7472,0.09,0.0,0.0,0.01,0.1,Shooter
Sonic & Sega All-Stars Racing,78,8.1,2010,500,1.45,1.71,0.0,0.43,3.58,Racing
Crimson Sea,78,8.2,2002,7570,0.04,0.01,0.04,0.0,0.09,Action
Knockout Kings 2002,78,7.8,2002,1747,0.65,0.41,0.0,0.13,1.18,Sports
Soul Bubbles,78,8.0,2008,7958,0.05,0.02,0.0,0.01,0.08,Puzzle
Praetorians,78,7.7,2003,9638,0.0,0.04,0.0,0.0,0.04,Strategy
Naruto: Rise of a Ninja,78,8.5,2007,4324,0.29,0.02,0.0,0.03,0.33,Action
Sonic Rush Adventure,78,8.2,2007,1762,0.54,0.49,0.01,0.12,1.17,Platform
Shin Megami Tensei: Persona,78,4.3,2009,5348,0.08,0.0,0.13,0.01,0.22,Role-Playing
Silent Hill: Origins,78,7.5,2007,2913,0.25,0.19,0.04,0.11,0.6,Action
Dead Space 3,78,6.3,2013,898,1.1,0.81,0.0,0.27,2.19,Action
Metal Gear Solid: Digital Graphic Novel,78,7.6,2006,9594,0.02,0.0,0.02,0.0,0.04,Misc
Blitz: The League,78,7.4,2005,1287,1.29,0.14,0.0,0.15,1.58,Sports
The Wonderful 101,78,8.6,2013,3754,0.2,0.1,0.08,0.03,0.41,Action
Kingdom Under Fire: Heroes,78,7.5,2005,6399,0.11,0.03,0.0,0.01,0.15,Strategy
Fatal Frame III: The Tormented,78,8.8,2005,7868,0.04,0.03,0.0,0.01,0.08,Action
Mario Golf: World Tour,78,8.1,2014,3375,0.15,0.14,0.17,0.03,0.48,Sports
Killzone: Mercenary,78,8.8,2013,2027,0.25,0.49,0.04,0.22,1.0,Shooter
Dragon's Dogma,78,8.2,2012,741,0.83,0.7,0.79,0.25,2.58,Role-Playing
Tropico 4: Modern Times,78,7.6,2012,10840,0.0,0.02,0.0,0.0,0.02,Strategy
Mega Man ZX Advent,78,8.8,2007,4146,0.23,0.0,0.09,0.02,0.35,Platform
NCAA March Madness 06,78,7.8,2005,2545,0.6,0.06,0.0,0.08,0.73,Sports
Ultimate Spider-Man,78,8.0,2005,1043,1.51,0.28,0.0,0.15,1.94,Action
Drakan: The Ancients' Gates,78,8.7,2002,4952,0.13,0.1,0.0,0.03,0.26,Adventure
Mortal Kombat: Shaolin Monks,78,8.0,2005,2038,0.81,0.09,0.0,0.1,1.0,Action
Star Wars: Republic Commando,78,6.9,2005,2574,0.48,0.21,0.0,0.03,0.72,Shooter
MotoGP '07,78,6.9,2007,5095,0.23,0.0,0.0,0.02,0.25,Racing
Dynasty Tactics 2,78,8.2,2003,7302,0.05,0.04,0.0,0.01,0.11,Strategy
Far Cry Instincts Predator,78,6.5,2006,5057,0.2,0.03,0.0,0.02,0.25,Shooter
The Sims 2: Open for Business,78,8.8,2006,3202,0.46,0.05,0.0,0.0,0.52,Simulation
Fire Emblem: Radiant Dawn,78,8.7,2007,3264,0.28,0.03,0.17,0.03,0.51,Strategy
Dissidia 012: Duodecim Final Fantasy,78,8.3,2011,2210,0.21,0.13,0.46,0.08,0.89,Fighting
Mega Man Zero Collection,78,8.8,2010,4055,0.21,0.02,0.11,0.02,0.36,Platform
Call of Duty: Ghosts,78,3.2,2013,15,14.92,9.05,0.48,2.92,27.38,Shooter
Assassin's Creed Syndicate,78,6.6,2015,348,1.51,2.56,0.06,0.63,4.76,Action
EyeToy: Kinetic,78,7.5,2005,6129,0.09,0.07,0.0,0.02,0.17,Sports
Mercury Meltdown,78,7.8,2006,8569,0.05,0.01,0.0,0.01,0.06,Action
Dragon Ball: Origins,78,7.9,2008,6834,0.09,0.03,0.0,0.01,0.13,Action
Medal of Honor: Airborne,78,7.3,2007,804,0.7,1.27,0.04,0.38,2.38,Shooter
Rebelstar: Tactical Command,78,8.2,2005,8883,0.04,0.01,0.0,0.0,0.05,Strategy
Disney's Extreme Skate Adventure,78,7.8,2003,2324,0.53,0.24,0.0,0.05,0.83,Sports
Konami Krazy Racers,78,8.0,2001,6217,0.09,0.03,0.04,0.0,0.16,Racing
Armored Core 2,78,8.6,2000,2396,0.28,0.22,0.23,0.07,0.79,Simulation
ATV Offroad Fury 3,78,8.2,2004,1715,1.0,0.04,0.0,0.16,1.2,Racing
MySims Agents,78,8.5,2009,935,1.17,0.75,0.0,0.21,2.13,Adventure
Shin Megami Tensei: Devil Survivor Overclocked,78,4.8,2011,3956,0.28,0.01,0.06,0.02,0.38,Role-Playing
Ace Combat: Assault Horizon,78,6.4,2011,1681,0.6,0.28,0.25,0.11,1.23,Action
El Shaddai: Ascension of the Metatron,78,7.4,2011,3551,0.18,0.12,0.11,0.04,0.45,Action
New Super Mario Bros. 2,78,7.2,2012,101,3.66,3.07,2.47,0.63,9.82,Platform
NFL Street 2,78,7.7,2004,852,1.3,0.77,0.0,0.24,2.29,Sports
Dead Rising 3,78,6.9,2013,1325,1.06,0.35,0.01,0.12,1.54,Action
Mount & Blade: Warband,78,8.2,2010,10702,0.01,0.01,0.0,0.0,0.02,Role-Playing
Wario Land: Shake It!,78,8.5,2008,1767,0.6,0.31,0.15,0.11,1.17,Platform
Chibi-Robo! Park Patrol,78,7.7,2007,5796,0.0,0.0,0.19,0.0,0.19,Adventure
