Name,meta_score,user_review,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre
Skate 2,84,8.0,2009,1048,1.28,0.43,0.02,0.21,1.94,Sports
Classic NES Series: Super Mario Bros.,84,8.5,2004,1446,0.0,0.0,1.39,0.03,1.43,Platform
Age of Mythology: The Titans,84,8.8,2003,9376,0.01,0.02,0.0,0.0,0.04,Strategy
SimCity 4,84,8.7,2003,4496,0.01,0.24,0.0,0.05,0.3,Simulation
Sega Soccer Slam,84,8.0,2002,5165,0.15,0.07,0.0,0.02,0.24,Sports
Spider-Man: Mysterio's Menace,84,7.8,2001,2884,0.43,0.16,0.0,0.01,0.61,Action
Super Mario Advance,84,7.3,2001,279,3.14,1.24,0.91,0.2,5.49,Platform
Microsoft Train Simulator,84,7.6,2001,9250,0.0,0.04,0.0,0.01,0.05,Simulation
San Francisco Rush 2049,84,8.6,2000,5601,0.16,0.04,0.0,0.0,0.2,Racing
Dead or Alive,84,8.5,1998,3466,0.09,0.06,0.28,0.02,0.46,Fighting
Split/Second,84,8.1,2010,1365,0.7,0.6,0.01,0.21,1.51,Racing
Rise of Nations: Rise of Legends,84,8.4,2006,9918,0.0,0.03,0.0,0.01,0.03,Strategy
Bulletstorm,84,7.7,2011,1185,0.91,0.59,0.02,0.18,1.71,Shooter
Tony Hawk's American Sk8land,84,6.2,2005,3517,0.36,0.07,0.0,0.02,0.45,Sports
Madden NFL 07,84,7.0,2006,96,8.66,0.44,0.03,0.93,10.03,Sports
Xenoblade Chronicles X,84,9.1,2015,2294,0.36,0.28,0.14,0.06,0.84,Role-Playing
Ace Combat 5: The Unsung War,84,8.9,2004,1184,0.88,0.34,0.32,0.18,1.71,Simulation
X-Men Legends II: Rise of Apocalypse,84,7.7,2005,1264,1.27,0.2,0.0,0.15,1.61,Role-Playing
James Bond 007: Everything or Nothing,84,8.2,2004,502,1.72,1.37,0.09,0.35,3.54,Shooter
Rayman Advance,84,7.8,2001,3300,0.36,0.13,0.0,0.01,0.5,Platform
Need for Speed: Shift,84,6.4,2009,287,1.58,2.81,0.06,0.97,5.42,Racing
Gran Turismo 5,84,7.8,2010,87,2.96,4.88,0.81,2.12,10.77,Racing
Borderlands,84,7.8,2009,258,3.6,1.49,0.03,0.62,5.73,Shooter
Half-Minute Hero,84,7.9,2009,5919,0.08,0.02,0.07,0.02,0.18,Role-Playing
Madden NFL 11,84,5.9,2010,201,5.88,0.29,0.0,0.52,6.68,Sports
Psi-Ops: The Mindgate Conspiracy,84,8.0,2004,3512,0.27,0.15,0.0,0.05,0.46,Shooter
The Lord of the Rings: The Battle for Middle-Earth II,84,8.0,2006,8103,0.01,0.06,0.0,0.01,0.08,Strategy
Def Jam: Fight for NY,84,8.6,2004,759,1.46,0.82,0.0,0.25,2.52,Fighting
Classic NES Series: The Legend of Zelda,84,8.5,2004,2216,0.46,0.17,0.24,0.02,0.89,Adventure
Battlefield Vietnam,84,7.5,2004,9719,0.0,0.02,0.0,0.0,0.03,Shooter
