Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,2006.0,Shooter,Unknown,0.04,0.01,0.0,0.0,0.06,True
12809,GRID,DS,2019.0,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06,True
12827,Captain America: Super Soldier,DS,2011.0,Action,Sega,0.05,0.0,0.0,0.0,0.05,True
12881,Reader Rabbit 2nd Grade,Wii,2010.0,Misc,Unknown,0.05,0.0,0.0,0.0,0.05,True
12917,Mountain Bike Adrenaline,PS2,2007.0,Sports,Unknown,0.03,0.02,0.0,0.01,0.05,True
12924,Tour de France 2011,X360,,Racing,Focus Home Interactive,0.0,0.05,0.0,0.01,0.05,False
12931,Drill Dozer,GBA,2006.0,Platform,Unknown,0.04,0.01,0.0,0.0,0.05,True
13057,Battle vs. Chess,PS3,2012.0,Misc,TopWare Interactive,0.0,0.04,0.0,0.01,0.05,True
13158,The History Channel: Great Battles - Medieval,PS3,2013.0,Strategy,Slitherine Software,0.0,0.04,0.0,0.01,0.05,True
13280,Monster Hunter Frontier Online,PS3,,Role-Playing,,0.0,0.0,0.05,0.0,0.05,False
13479,RollerCoaster Tycoon,PC,,Strategy,Microprose,0.02,0.02,0.0,0.01,0.04,False
13667,GRID,PC,2019.0,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04,True
13674,B.L.U.E.: Legend of Water,PS,,Adventure,,0.0,0.0,0.04,0.0,0.04,False
13677,Luxor: Pharaoh's Challenge,Wii,2007.0,Puzzle,Funsta,0.01,0.03,0.0,0.0,0.04,True
13735,NHL Hitz Pro,GC,2003.0,Sports,Unknown,0.03,0.01,0.0,0.0,0.04,True
13872,Sega Rally 2006,PS2,,Racing,Unknown,0.0,0.0,0.04,0.0,0.04,False
13964,World of Tanks,X360,2011.0,Shooter,,0.0,0.03,0.0,0.0,0.04,True
14048,Swords,Wii,2010.0,Fighting,Unknown,0.03,0.0,0.0,0.0,0.04,True
14057,Half-Minute Hero 2,PSP,,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04,False
14058,Clockwork Empires,PC,2016.0,Strategy,Unknown,0.0,0.03,0.0,0.0,0.04,True
14089,Housekeeping,DS,,Action,,0.0,0.0,0.04,0.0,0.04,False
14100,Major League Baseball 2K8,PSP,2008.0,Sports,Unknown,0.03,0.0,0.0,0.0,0.03,True
14162,Sabre Wulf,GBA,2004.0,Platform,THQ,0.02,0.01,0.0,0.0,0.03,True
14276,Beyond the Labyrinth,3DS,,Role-Playing,Unknown,0.0,0.0,0.03,0.0,0.03,False
14299,Bikkuriman Daijiten,DS,2007.0,Misc,,0.0,0.0,0.03,0.0,0.03,True
14315,Majesty 2: The Fantasy Kingdom Sim,X360,2009.0,Simulation,Unknown,0.03,0.0,0.0,0.0,0.03,True
14380,Fullmetal Alchemist: Brotherhood,PSP,,Action,Unknown,0.0,0.0,0.03,0.0,0.03,False
14476,Combat Elite: WWII Paratroopers,XB,2005.0,Shooter,Unknown,0.02,0.01,0.0,0.0,0.03,True
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,2006.0,Fighting,Unknown,0.0,0.0,0.03,0.0,0.03,True
14586,Battle vs. Chess,PC,2012.0,Misc,TopWare Interactive,0.0,0.02,0.0,0.01,0.03,True
14679,Tom and Jerry in War of the Whiskers,XB,2002.0,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03,True
14699,Super Duper Sumos,GBA,2003.0,Action,Unknown,0.02,0.01,0.0,0.0,0.03,True
14852,Legacy of Ys: Books I & II,DS,,Role-Playing,Unknown,0.02,0.0,0.0,0.0,0.03,False
