Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Data_Completed
7371,Ghostbusters II,2600,,Action,Activision,0.2,0.01,0.0,0.0,0.21,False
7372,Breakaway IV,2600,,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,False
7384,Robotech: Battlecry,XB,2002.0,Shooter,Unknown,0.16,0.05,0.0,0.01,0.21,True
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011.0,Strategy,Sega,0.0,0.0,0.21,0.0,0.21,True
7425,WRC: FIA World Rally Championship,PS3,2011.0,Racing,Black Bean Games,0.0,0.15,0.01,0.05,0.21,True
7617,Famista 64,N64,1997.0,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2,True
7650,Dead Space 3,PC,2013.0,Action,Electronic Arts,0.02,0.15,0.0,0.02,0.2,True
7722,Test Drive Unlimited 2,PC,2011.0,Racing,Atari,0.05,0.11,0.0,0.03,0.2,True
7910,Pet Zombies,3DS,2011.0,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19,True
7948,Star Trek: Legacy,X360,2006.0,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19,True
8046,Trauma Team,Wii,2010.0,Simulation,Unknown,0.15,0.0,0.02,0.01,0.18,True
8088,Backbreaker,X360,2010.0,Sports,Unknown,0.17,0.0,0.0,0.01,0.18,True
8159,Twisted Metal: Small Brawl,PS,2001.0,Action,Unknown,0.1,0.07,0.0,0.01,0.18,True
8169,Otomedius Excellent,X360,2011.0,Shooter,Unknown,0.13,0.0,0.04,0.01,0.18,True
8206,NBA Starting Five,PS2,2002.0,Sports,Unknown,0.09,0.07,0.0,0.02,0.18,True
8225,Teen Titans,GBA,2006.0,Action,Unknown,0.13,0.05,0.0,0.0,0.17,True
8315,Backbreaker,PS3,2010.0,Sports,Unknown,0.16,0.0,0.0,0.01,0.17,True
8336,James Cameron's Dark Angel,PS2,2002.0,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,True
8378,Sword of the Samurai,PS2,1989.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,True
8441,Splatterhouse,PS3,2010.0,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.17,True
8555,Alone in the Dark: The New Nightmare,PS,2001.0,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,True
8622,Vegas Party,Wii,2009.0,Misc,Unknown,0.15,0.0,0.0,0.01,0.16,True
8709,Jurassic Park: The Game,X360,2011.0,Action,Unknown,0.15,0.0,0.0,0.01,0.16,True
8762,Home Run,2600,,Sports,Atari,0.14,0.01,0.0,0.0,0.15,False
8901,eJay Clubworld,PS2,2003.0,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,True
8931,All-Star Baseball 2005,XB,,Sports,Unknown,0.11,0.03,0.0,0.01,0.15,False
9083,Our House Party!,Wii,2009.0,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14,True
9153,WCW Backstage Assault,N64,2000.0,Action,Unknown,0.11,0.03,0.0,0.0,0.14,True
9173,Bejeweled 3,PS3,2010.0,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14,True
9253,Bejeweled 3,X360,2010.0,Puzzle,Unknown,0.13,0.0,0.0,0.01,0.14,True
9312,Disney's Cinderella: Magical Dreams,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,True
9394,Transworld Surf,XB,2001.0,Sports,Atari,0.1,0.03,0.0,0.0,0.13,True
